SIZE_HA,IGN_DATE,LATITUDE,LONGITUDE,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure
0,20100731.2,49.9157,-124.6449,55.6,73.1,64.4,54.8,72.29,,11,21.9,171.75,,0,19.7,37.8,1015
0,20090628.17,50.0094,-121.669,51.7,74.8,64.5,40.7,44.52,,20.7,33,190.42,,0.02,8.7,6.8,1019.2
0,20090612.13,49.1936,-124.1315,56.4,70.1,62.2,55.4,79.21,,9.5,,142.57,,0,,0,1012.2
0,20160713.14,49.7633,-121.8602,58.7,75.1,66.6,52.4,62.07,,13.3,28.6,242.46,,0.01,133.4,12.9,1021.9
0,20180620.13,51.8718,-122.8064,51.8,86,65.5,51.6,67.77,83.6,15.3,31.1,167.38,,0.3,14.9,49.7,1014.4
0,20140718.13,49.8138,-123.2099,59.3,75.2,68.7,54.1,60.61,,10.2,20.7,166.04,,0.09,630.4,0,1014.3
0,20140428.11,50.5343,-123.0762,34.4,53,42.9,32.6,70.27,,4.1,,198.33,32.7,0.08,181.3,0.9,1028.1
0,20080909.18,49.0459,-124.1055,52.4,63.7,58.2,43.7,66.42,,19.2,42.5,282.38,,0,,0,1013.5
0,20170916.13,49.1259,-121.5807,48.6,75.2,60.2,42.7,56.79,,7,,248.75,48.3,0,200.3,1.4,1013.2
0,20090416.22,49.3187,-119.667,39.5,63.9,55.3,27.1,35.04,,12.7,23.2,152.75,,0,,0,1022.9
0,20090701.15,49.5183,-121.7672,55.5,78.9,66.4,48.5,54.48,,9.6,20.2,185.83,,0.03,8.7,0.7,1017.4
0,20140630.12,49.7457,-126.0729,51.5,68.5,60.7,53.6,78.83,,12,,266.29,,0,170.5,17.3,1019.3
0,20080628.18,49.48,-121.21,62.6,90.5,74.6,57.7,58.03,90.4,10.7,20.1,187.21,,0,8.7,0,1014.9
0,20200315.21,49.131,-123.9697,33.3,44.6,40.5,25.3,55.24,,19.3,27.5,325.92,27.5,0,636.5,0,1024.2
0,20080810.13,49.2253,-115.2213,48.1,67.4,56.3,41.2,59.15,,14.4,32.8,223.79,45,0.07,23.4,34.2,1015.8
0,20110802.09,49.0565,-122.1987,56.5,74.5,65.5,53.9,67.99,,6.5,19.5,154.63,,0,9.9,24.1,1016
0,20040625.2,49.8167,-124.1667,54.7,66.7,61.8,55.9,80.97,,12.1,,151.58,,0,,0,1019.4
0,20180527.14,49.4737,-122.0004,53.4,73.7,63.3,46.1,56.16,,7.4,,209.08,,0,217.4,1.2,1021.6
0,20090614.16,49.4952,-121.2249,56.5,71.1,63.1,53.4,71.16,,12.4,25.9,271.63,,0.01,8.7,50.8,1012.4
