,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
501,19940926.0,No Cause,No Fire,49.218722064004936,-115.82771726867651,0.0,49.8,79.9,65.0,38.5,39.42,,10.7,,212.36,49.2,0.0,24.9,35.4,1015.3,"['""""', '49.218722064004936', '-115.82771726867651', '""49.218722064004936', ' -115.82771726867651""', '""49.218722064004936', ' -115.82771726867651""', '""""', '""Partially cloudy""\n']"
502,20160518.0,No Cause,No Fire,58.58277949184547,-129.9783936281966,0.0,38.8,53.5,46.5,34.8,66.59,,13.0,22.0,210.96,41.0,0.04,86.2,31.7,1016.6,"['""Light Rain""', '58.58277949184547', '-129.9783936281966', '""58.58277949184547', ' -129.9783936281966""', '""58.58277949184547', ' -129.9783936281966""', '""""', '""Rain', ' Partially cloudy""\n']"
503,20080131.0,No Cause,No Fire,49.96409543757056,-121.94762695628859,0.0,19.3,26.4,22.7,20.9,92.92,,5.4,,95.29,11.7,0.08,6.3,39.1,1003.9,"['""Light Snow', ' Rain', ' Fog', ' Light Rain""', '49.96409543757056', '-121.94762695628859', '""49.96409543757056', ' -121.94762695628859""', '""49.96409543757056', ' -121.94762695628859""', '""""', '""Rain', ' Partially cloudy""\n']"
504,20180510.0,No Cause,No Fire,55.051577776144846,-115.83453451275186,0.0,30.3,50.0,42.8,34.1,72.63,,16.1,21.9,134.38,34.7,0.0,8.8,31.3,1017.3,"['""""', '55.051577776144846', '-115.83453451275186', '""55.051577776144846', ' -115.83453451275186""', '""55.051577776144846', ' -115.83453451275186""', '""""', '""Partially cloudy""\n']"
505,19740413.0,No Cause,No Fire,50.4178079151023,-119.36485741627129,0.0,27.2,56.9,41.7,25.0,55.51,,8.1,,253.53,28.4,0.0,17.4,25.3,1029.5,"['""""', '50.4178079151023', '-119.36485741627129', '""50.4178079151023', ' -119.36485741627129""', '""50.4178079151023', ' -119.36485741627129""', '""""', '""Partially cloudy""\n']"
506,20101003.0,No Cause,No Fire,50.937503896517136,-119.89836330587707,0.0,43.5,63.4,55.8,47.3,73.9,,3.8,,244.88,,0.0,39.6,38.9,1011.8,"['""""', '50.937503896517136', '-119.89836330587707', '""50.937503896517136', ' -119.89836330587707""', '""50.937503896517136', ' -119.89836330587707""', '""""', '""Partially cloudy""\n']"
507,19720829.0,No Cause,No Fire,53.962491223741615,-128.66126149693386,0.0,,,,,,,,,,,0.0,,,,"['""""', '53.962491223741615', '-128.66126149693386', '""53.962491223741615', ' -128.66126149693386""', '""53.962491223741615', ' -128.66126149693386""', '""No data available""', '""""\n']"
508,20060508.0,No Cause,No Fire,58.113485311691,-127.27437579398321,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
509,20040408.0,No Cause,No Fire,55.066659802104866,-115.50293740330747,0.0,24.9,44.7,34.6,22.5,61.77,,5.8,,245.0,22.8,0.0,8.7,7.0,1024.9,"['""""', '55.066659802104866', '-115.50293740330747', '""55.066659802104866', ' -115.50293740330747""', '""55.066659802104866', ' -115.50293740330747""', '""""', '""Clear""\n']"
510,19950807.0,No Cause,No Fire,52.93988728928103,-120.83153493357064,0.0,,,,,,,,,,,0.0,,,,"['""""', '52.93988728928103', '-120.83153493357064', '""52.93988728928103', ' -120.83153493357064""', '""52.93988728928103', ' -120.83153493357064""', '""No data available""', '""""\n']"
