FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
C50021,20120503.1415,Person,Fire,52.1448,-123.928,8.9,25.0,50.1,38.8,29.2,71.19,,7.9,,183.29,28.5,0.02,,0.0,1006.8,"['""""', '52.1448', '-123.928', '""52.1448', ' -123.928""', '""52.1448', ' -123.928""', '""""', '""Rain""\n']"
N70594,20120909.1652,Lightning,Fire,49.8552,-117.0006,5.0,51.8,68.4,59.0,53.6,83.02,,7.7,23.0,164.08,,0.74,14.6,14.5,1008.2,"['""Thunderstorm', ' Thunderstorm Without Precipitation', ' Rain Showers""', '49.8552', '-117.0006', '""49.8552', ' -117.0006""', '""49.8552', ' -117.0006""', '""""', '""Rain""\n']"
C50225,20150330.13,Person,Fire,52.1267,-124.0047,37.0,32.2,58.7,44.6,31.9,65.58,,13.9,35.0,212.08,27.7,0.2,583.7,0.1,1006.7,"['""""', '52.1267', '-124.0047', '""52.1267', ' -124.0047""', '""52.1267', ' -124.0047""', '""""', '""Rain""\n']"
K70639,20150202.1135,Person,Fire,50.27,-121.6017,4.0,31.9,38.9,34.6,32.8,93.05,,8.0,,144.0,26.0,0.17,63.6,28.7,1013.7,"['""Mist', ' Light Rain""', '50.27', '-121.6017', '""50.27', ' -121.6017""', '""50.27', ' -121.6017""', '""""', '""Rain', ' Partially cloudy""\n']"
K10026,20100420.09,Person,Fire,51.8183,-120.17,110.6,28.4,75.4,50.3,30.8,57.42,,11.5,21.9,102.0,,0.0,14.9,12.2,1007.2,"['""""', '51.8183', '-120.17', '""51.8183', ' -120.17""', '""51.8183', ' -120.17""', '""""', '""Clear""\n']"
G70387,20160815.16,Person,Fire,55.98690000000001,-120.3451,58.5,56.6,79.0,69.5,49.6,50.48,,15.3,24.2,232.33,,0.0,10.4,35.1,1014.9,"['""""', '55.98690000000001', '-120.3451', '""55.98690000000001', ' -120.3451""', '""55.98690000000001', ' -120.3451""', '""""', '""Partially cloudy""\n']"
G70549,20100810.192,Lightning,Fire,55.29600000000001,-121.7445,3.1,51.8,75.2,65.7,45.0,50.85,,10.3,,220.83,,0.0,34.8,95.3,1011.1,"['""""', '55.29600000000001', '-121.7445', '""55.29600000000001', ' -121.7445""', '""55.29600000000001', ' -121.7445""', '""""', '""Overcast""\n']"
G90154,20090615.1703,Lightning,Fire,59.107,-121.004,89.10000000000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
K20085,20060514.112999998,Person,Fire,50.8872,-121.4622,3.5,43.8,76.2,59.0,34.6,43.93,,9.9,24.2,,42.4,0.0,23.8,12.4,1023.5,"['""""', '50.8872', '-121.4622', '""50.8872', ' -121.4622""', '""50.8872', ' -121.4622""', '""""', '""Clear""\n']"
G70219,20100707.192,Lightning,Fire,55.6826,-122.5539,8.0,49.9,84.2,68.8,46.7,50.53,81.5,4.7,,96.33,,0.0,16.2,19.9,1019.5,"['""""', '55.6826', '-122.5539', '""55.6826', ' -122.5539""', '""55.6826', ' -122.5539""', '""""', '""Clear""\n']"
G50037,20040420.1,Person,Fire,54.4897,-124.6508,120.0,24.9,36.2,29.8,18.2,61.94,,9.2,,109.05,20.7,0.0,8.7,13.5,1013.0,"['""Light Snow""', '54.4897', '-124.6508', '""54.4897', ' -124.6508""', '""54.4897', ' -124.6508""', '""""', '""Clear""\n']"
C40099,20010522.171,Person,Fire,50.9893,-121.8123,3.0,45.2,79.4,63.6,30.6,33.04,,15.0,,212.86,,0.02,8.7,2.9,1015.1,"['""""', '50.9893', '-121.8123', '""50.9893', ' -121.8123""', '""50.9893', ' -121.8123""', '""""', '""Rain""\n']"
C50034,20020424.08,Person,Fire,52.40750000000001,-125.241,8.0,,,,,,,,,,,0.0,,,,"['""""', '52.40750000000001', '-125.241', '""52.40750000000001', ' -125.241""', '""52.40750000000001', ' -125.241""', '""No data available""', '""""\n']"
G90288,20180520.1745,Lightning,Fire,58.63200000000001,-123.5588,9.6,51.8,82.5,67.0,45.6,52.9,80.4,16.7,24.2,192.27,,0.07,16.7,54.4,1005.6,"['""Thunderstorm Without Precipitation', ' Rain Showers', ' Sky Coverage Decreasing""', '58.63200000000001', '-123.5588', '""58.63200000000001', ' -123.5588""', '""58.63200000000001', ' -123.5588""', '""""', '""Rain', ' Partially cloudy""\n']"
R10124,20130801.1453,Lightning,Fire,54.11210000000001,-125.8398,2.0,45.8,83.4,65.8,50.1,61.67,81.4,6.3,26.4,271.92,,0.0,630.7,0.0,1014.9,"['""""', '54.11210000000001', '-125.8398', '""54.11210000000001', ' -125.8398""', '""54.11210000000001', ' -125.8398""', '""""', '""Clear""\n']"
K40494,20060716.1332,Person,Fire,50.4545,-119.6178,2.0,52.1,83.0,68.3,46.0,48.61,80.8,6.1,,,,0.02,8.7,0.0,1019.1,"['""""', '50.4545', '-119.6178', '""50.4545', ' -119.6178""', '""50.4545', ' -119.6178""', '""""', '""Rain""\n']"
V10484,20170701.1427,Person,Fire,49.57550000000001,-121.8113,202.0,53.5,76.1,66.2,52.4,63.18,,11.2,36.7,245.67,,0.0,174.3,0.9,1016.0,"['""""', '49.57550000000001', '-121.8113', '""49.57550000000001', ' -121.8113""', '""49.57550000000001', ' -121.8113""', '""""', '""Clear""\n']"
K40256,20030728.1245,Person,Fire,50.1368,-119.4398,2.5,57.3,95.2,77.9,47.0,37.05,91.5,8.8,,173.75,,0.02,12.6,2.9,1016.3,"['""""', '50.1368', '-119.4398', '""50.1368', ' -119.4398""', '""50.1368', ' -119.4398""', '""""', '""Rain""\n']"
C50025,20160408.13,Person,Fire,52.2487,-123.7186,11.8,23.4,67.8,46.4,25.4,51.05,,21.6,34.9,234.92,38.0,0.0,628.9,0.0,1012.3,"['""""', '52.2487', '-123.7186', '""52.2487', ' -123.7186""', '""52.2487', ' -123.7186""', '""""', '""Clear""\n']"
K62317,20180804.184,Lightning,Fire,49.7773,-121.1585,2432.0,53.4,80.2,66.5,51.9,63.34,79.6,8.8,28.6,124.08,,0.43,162.6,1.0,1015.5,"['""Lightning Without Thunder', ' Mist', ' Thunderstorm""', '49.7773', '-121.1585', '""49.7773', ' -121.1585""', '""49.7773', ' -121.1585""', '""""', '""Rain""\n']"
K50261,20150703.1441,Person,Fire,49.8583,-119.2646,55.0,59.5,94.8,78.9,49.5,38.71,91.3,10.9,,197.63,,0.01,26.9,4.5,1009.5,"['""Smoke Or Haze""', '49.8583', '-119.2646', '""49.8583', ' -119.2646""', '""49.8583', ' -119.2646""', '""""', '""Rain""\n']"
K60052,20140419.1028,Person,Fire,50.0538,-120.8502,2.2,37.2,56.9,46.8,32.3,59.44,,17.0,38.0,205.08,33.4,0.0,79.4,2.5,1012.4,"['""Light Rain""', '50.0538', '-120.8502', '""50.0538', ' -120.8502""', '""50.0538', ' -120.8502""', '""""', '""Clear""\n']"
K70058,20120510.112999998,Person,Fire,50.8902,-122.70200000000001,26.0,32.8,59.7,47.7,25.2,47.05,,10.3,,163.5,39.1,0.0,,0.0,1027.6,"['""""', '50.8902', '-122.70200000000001', '""50.8902', ' -122.70200000000001""', '""50.8902', ' -122.70200000000001""', '""""', '""Clear""\n']"
G91534,20170803.1343,Lightning,Fire,59.7201,-120.8656,4655.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
K60027,20020429.13,Person,Fire,50.0968,-120.7536,4.0,34.1,75.7,57.3,35.5,49.56,,15.6,,206.04,26.2,0.08,17.4,17.5,1012.6,"['""""', '50.0968', '-120.7536', '""50.0968', ' -120.7536""', '""50.0968', ' -120.7536""', '""""', '""Rain""\n']"
K20948,20120930.13,Person,Fire,50.6717,-120.9153,31.0,46.7,72.7,60.6,39.3,47.03,,10.7,38.1,187.67,,0.02,8.7,1.1,1024.7,"['""""', '50.6717', '-120.9153', '""50.6717', ' -120.9153""', '""50.6717', ' -120.9153""', '""""', '""Rain""\n']"
G60414,20090731.143,Lightning,Fire,56.4134,-125.0665,154.20000000000005,,,,,,,,,,,0.0,,,,"['""""', '56.4134', '-125.0665', '""56.4134', ' -125.0665""', '""56.4134', ' -125.0665""', '""No data available""', '""""\n']"
N50765,20060822.1704,Lightning,Fire,50.7672,-117.8858,206.0,54.1,68.9,60.7,52.7,76.19,,13.4,31.1,,,0.14,5.5,18.0,1014.2,"['""Light Rain""', '50.7672', '-117.8858', '""50.7672', ' -117.8858""', '""50.7672', ' -117.8858""', '""""', '""Rain""\n']"
N10040,20120522.08,Person,Fire,49.83470000000001,-115.614,4.0,38.4,54.9,49.0,38.8,68.53,,14.4,23.4,169.0,40.5,0.04,23.8,72.4,1005.6,"['""Precipitation In Vicinity', ' Rain Showers""', '49.83470000000001', '-115.614', '""49.83470000000001', ' -115.614""', '""49.83470000000001', ' -115.614""', '""""', '""Rain', ' Partially cloudy""\n']"
G90195,20050530.2043,Lightning,Fire,59.19,-120.0417,550.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
C30273,20011018.12,Person,Fire,52.3167,-120.8333,2.0,,,,,,,,,,,0.0,,,,"['""""', '52.3167', '-120.8333', '""52.3167', ' -120.8333""', '""52.3167', ' -120.8333""', '""No data available""', '""""\n']"
N10034,20010126.12,Person,Fire,49.5568,-115.6977,2.0,14.5,24.8,20.9,14.6,76.11,,5.8,,199.71,11.5,0.0,11.4,92.7,1028.8,"['""Mist""', '49.5568', '-115.6977', '""49.5568', ' -115.6977""', '""49.5568', ' -115.6977""', '""""', '""Overcast""\n']"
R10064,20140702.1339,Lightning,Fire,53.8864,-125.7828,43.0,41.6,68.7,58.2,45.6,65.01,,13.2,24.2,233.63,39.0,0.28,627.7,0.0,1010.1,"['""""', '53.8864', '-125.7828', '""53.8864', ' -125.7828""', '""53.8864', ' -125.7828""', '""""', '""Rain""\n']"
C50402,20090729.154,Lightning,Fire,52.1742,-125.8872,2288.0,57.3,104.1,89.8,56.1,40.83,102.5,8.1,,122.22,,0.0,14.9,16.7,1009.6,"['""""', '52.1742', '-125.8872', '""52.1742', ' -125.8872""', '""52.1742', ' -125.8872""', '""""', '""Clear""\n']"
G70134,20100611.13,Person,Fire,56.06500000000001,-121.2846,41.0,51.4,74.0,64.6,37.6,38.58,,15.4,23.0,203.67,,0.01,17.7,60.1,1018.4,"['""Precipitation In Vicinity', ' Rain Showers', ' Light Rain""', '56.06500000000001', '-121.2846', '""56.06500000000001', ' -121.2846""', '""56.06500000000001', ' -121.2846""', '""""', '""Rain', ' Partially cloudy""\n']"
G90194,20050531.12,Lightning,Duplicate,59.1172,-120.0613,262.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
N40385,20130808.123,Lightning,Fire,51.14120000000001,-117.8003,6.8,57.3,83.9,70.7,55.6,62.07,83.1,12.8,21.9,188.62,,0.01,87.3,8.8,1014.4,"['""Rain Showers', ' Fog', ' Smoke Or Haze""', '51.14120000000001', '-117.8003', '""51.14120000000001', ' -117.8003""', '""51.14120000000001', ' -117.8003""', '""""', '""Rain""\n']"
G40353,20100728.22,Lightning,Fire,53.037,-124.969,13087.0,,,,,,,,,,,0.0,,,,"['""""', '53.037', '-124.969', '""53.037', ' -124.969""', '""53.037', ' -124.969""', '""No data available""', '""""\n']"
G10253,20011114.1,Person,Nuisance Fire,53.63820000000001,-122.4228,2.5,39.0,57.3,48.7,35.3,60.67,,23.5,,158.17,36.4,0.03,21.8,70.1,998.8,"['""Sky Coverage Increasing""', '53.63820000000001', '-122.4228', '""53.63820000000001', ' -122.4228""', '""53.63820000000001', ' -122.4228""', '""""', '""Rain', ' Partially cloudy""\n']"
R10596,20180620.1324,Lightning,Fire,54.4345,-125.2157,4.0,50.9,86.7,67.8,54.4,67.7,84.2,9.7,23.0,182.75,,0.35,244.9,0.8,1012.8,"['""""', '54.4345', '-125.2157', '""54.4345', ' -125.2157""', '""54.4345', ' -125.2157""', '""""', '""Rain""\n']"
C20548,20040816.0804,Lightning,Fire,51.6516,-122.9959,2.5,,,,,,,,,,,0.0,,,,"['""""', '51.6516', '-122.9959', '""51.6516', ' -122.9959""', '""51.6516', ' -122.9959""', '""No data available""', '""""\n']"
K52221,20171002.0123,Person,Fire,49.7577,-119.6953,6.0,35.8,58.8,46.8,32.1,57.78,,10.8,19.5,297.83,29.7,0.03,173.1,0.0,1025.8,"['""""', '49.7577', '-119.6953', '""49.7577', ' -119.6953""', '""49.7577', ' -119.6953""', '""""', '""Rain""\n']"
C40028,20180423.123,Person,Fire,51.667,-121.2516,4.0,33.8,58.7,47.5,18.9,33.39,,13.6,21.6,119.67,29.2,0.0,11.7,29.2,1028.4,"['""""', '51.667', '-121.2516', '""51.667', ' -121.2516""', '""51.667', ' -121.2516""', '""""', '""Partially cloudy""\n']"
G80129,20190427.150048997,Unknown,Fire,56.13220000000001,-120.042,3.77,26.7,44.8,36.1,23.2,64.83,,12.4,31.1,160.25,20.3,0.02,16.9,15.3,1027.6,"['""Light Snow', ' Mist', ' Fog""', '56.13220000000001', '-120.042', '""56.13220000000001', ' -120.042""', '""56.13220000000001', ' -120.042""', '""""', '""Rain""\n']"
R90123,20120810.16,Lightning,Fire,59.46700000000001,-129.0421,5.0,48.0,60.9,53.7,43.6,70.28,,10.3,,194.33,45.7,0.0,23.2,52.8,1019.2,"['""Fog', ' Light Rain""', '59.46700000000001', '-129.0421', '""59.46700000000001', ' -129.0421""', '""59.46700000000001', ' -129.0421""', '""""', '""Partially cloudy""\n']"
G40159,20020615.1655,Lightning,Fire,53.9466,-123.5849,8.0,49.7,73.7,61.5,42.8,53.9,,13.5,,121.24,48.7,0.0,20.3,43.1,1013.4,"['""Precipitation In Vicinity', ' Fog""', '53.9466', '-123.5849', '""53.9466', ' -123.5849""', '""53.9466', ' -123.5849""', '""""', '""Partially cloudy""\n']"
G90380,20170623.1506,Lightning,Fire,59.3306,-123.2058,2.8000000000000003,42.8,73.4,59.9,47.2,67.92,,12.1,19.7,196.32,41.2,0.08,19.6,42.1,1025.2,"['""Precipitation In Vicinity', ' Thunderstorm', ' Rain Showers', ' Fog', ' Sky Coverage Decreasing""', '59.3306', '-123.2058', '""59.3306', ' -123.2058""', '""59.3306', ' -123.2058""', '""""', '""Rain', ' Partially cloudy""\n']"
N12247,20171006.153,Person,Fire,49.6143,-116.1779,6.3,32.6,63.0,50.7,30.6,48.91,,16.0,32.2,220.63,29.3,0.0,103.5,19.3,1006.5,"['""""', '49.6143', '-116.1779', '""49.6143', ' -116.1779""', '""49.6143', ' -116.1779""', '""""', '""Clear""\n']"
G90273,20040627.1606,Lightning,Fire,58.6539,-127.6254,255.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
C50025,20020422.15,Person,Fire,52.3562,-125.1585,2.0,17.7,40.4,28.6,13.8,60.31,,20.6,,275.33,12.5,0.0,8.7,0.0,1014.8,"['""""', '52.3562', '-125.1585', '""52.3562', ' -125.1585""', '""52.3562', ' -125.1585""', '""""', '""Clear""\n']"
G90306,20040714.1347,Lightning,Fire,58.9249,-123.7146,2.0,55.5,83.0,71.9,52.8,55.43,81.3,6.9,,181.11,,0.0,18.8,45.7,1014.7,"['""Fog""', '58.9249', '-123.7146', '""58.9249', ' -123.7146""', '""58.9249', ' -123.7146""', '""""', '""Partially cloudy""\n']"
N63034,20180907.2113,Lightning,Fire,49.01170000000001,-118.7579,2.5,53.6,84.7,68.0,46.9,52.87,81.8,8.8,23.0,170.0,,0.1,143.7,17.1,1013.5,"['""Precipitation In Vicinity', ' Rain Showers', ' Sky Coverage Increasing""', '49.01170000000001', '-118.7579', '""49.01170000000001', ' -118.7579""', '""49.01170000000001', ' -118.7579""', '""""', '""Rain""\n']"
R32009,20180801.003,Lightning,Fire,55.5305,-126.8278,884.0,,,,,,,,,,,0.0,,,,"['""""', '55.5305', '-126.8278', '""55.5305', ' -126.8278""', '""55.5305', ' -126.8278""', '""No data available""', '""""\n']"
G70363,20140803.173,Lightning,Fire,54.5244,-120.5305,7.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
K50271,20190513.111826003,Unknown,Fire,49.0401,-119.6498,507.0,48.9,77.8,66.3,33.9,35.33,,8.7,,181.13,,0.0,196.2,0.1,1008.9,"['""""', '49.0401', '-119.6498', '""49.0401', ' -119.6498""', '""49.0401', ' -119.6498""', '""""', '""Clear""\n']"
C20022,20010420.15,Person,Fire,52.33,-122.26,10.0,23.1,52.0,38.7,19.9,49.22,,16.9,,312.86,22.3,0.02,14.7,24.3,1016.9,"['""""', '52.33', '-122.26', '""52.33', ' -122.26""', '""52.33', ' -122.26""', '""""', '""Rain""\n']"
G40670,20180620.213031,Unknown,Fire,54.25899999999999,-124.783,121.5,54.1,88.4,70.3,55.1,64.34,85.9,10.8,23.0,173.25,,0.35,231.9,1.7,1012.1,"['""""', '54.25899999999999', '-124.783', '""54.25899999999999', ' -124.783""', '""54.25899999999999', ' -124.783""', '""""', '""Rain""\n']"
G70021,20120503.14,Person,Fire,55.712300000000006,-121.4902,54.3,37.4,55.4,45.5,30.5,57.97,,11.5,23.0,154.88,32.1,0.44,18.8,94.2,1005.7,"['""Mist', ' Rain Showers', ' Fog', ' Sky Coverage Increasing""', '55.712300000000006', '-121.4902', '""55.712300000000006', ' -121.4902""', '""55.712300000000006', ' -121.4902""', '""""', '""Rain', ' Overcast""\n']"
G70333,20060627.1912,Lightning,Fire,54.5978,-120.6282,1774.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
C31161,20170707.1438,Lightning,Fire,52.8067,-121.0575,1375.0,,,,,,,,,,,0.0,,,,"['""""', '52.8067', '-121.0575', '""52.8067', ' -121.0575""', '""52.8067', ' -121.0575""', '""No data available""', '""""\n']"
G90117,20010621.12,Lightning,Fire,58.43530000000001,-121.375,3.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
C31425,20170729.143,Person,Fire,52.1569,-121.6243,2.0,57.5,80.9,70.1,40.0,35.03,79.2,10.3,,231.43,,0.0,,0.0,1017.4,"['""""', '52.1569', '-121.6243', '""52.1569', ' -121.6243""', '""52.1569', ' -121.6243""', '""""', '""Clear""\n']"
G60446,20030823.1627,Lightning,Fire,58.3533,-126.8408,120.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
K40300,20030801.223,Person,Fire,50.451,-119.4485,1620.0,55.3,96.5,77.2,43.5,34.8,92.0,10.0,,184.88,,0.02,12.6,3.0,1011.2,"['""""', '50.451', '-119.4485', '""50.451', ' -119.4485""', '""50.451', ' -119.4485""', '""""', '""Rain""\n']"
R90275,20100921.133,Person,Fire,57.0626,-130.5124,4.0,,,,,,,,,,,0.0,,,,"['""""', '57.0626', '-130.5124', '""57.0626', ' -130.5124""', '""57.0626', ' -130.5124""', '""No data available""', '""""\n']"
K60087,20150523.11,Lightning,Fire,49.9421,-121.0947,2.7,53.7,75.3,64.2,50.4,63.15,,14.1,31.3,212.38,,0.8,141.7,4.8,1017.2,"['""""', '49.9421', '-121.0947', '""49.9421', ' -121.0947""', '""49.9421', ' -121.0947""', '""""', '""Rain""\n']"
G30206,20020621.12,Lightning,Fire,53.4617,-120.4333,62.0,,,,,,,,,,,0.0,,,,"['""""', '53.4617', '-120.4333', '""53.4617', ' -120.4333""', '""53.4617', ' -120.4333""', '""No data available""', '""""\n']"
K30465,20030807.1839,Lightning,Fire,51.4996,-118.8575,676.0,49.1,76.2,62.9,54.5,77.28,,11.9,,183.35,,0.02,10.4,22.8,1016.7,"['""""', '51.4996', '-118.8575', '""51.4996', ' -118.8575""', '""51.4996', ' -118.8575""', '""""', '""Rain""\n']"
G90127,20130623.2009,Lightning,Fire,59.2713,-125.7366,2.1,,,,,,,,,,,0.0,,,,"['""""', '59.2713', '-125.7366', '""59.2713', ' -125.7366""', '""59.2713', ' -125.7366""', '""No data available""', '""""\n']"
K10379,20040724.2122,Lightning,Fire,52.6574,-119.9395,16.0,51.9,87.7,68.7,56.8,70.77,85.3,2.2,,121.58,,0.0,14.9,13.3,1015.6,"['""""', '52.6574', '-119.9395', '""52.6574', ' -119.9395""', '""52.6574', ' -119.9395""', '""""', '""Clear""\n']"
K50611,20140921.12,Person,Fire,49.8721,-119.2155,6.2,49.8,80.2,62.9,47.1,59.48,79.5,4.9,,134.08,,0.01,29.7,0.3,1012.6,"['""Light Rain""', '49.8721', '-119.2155', '""49.8721', ' -119.2155""', '""49.8721', ' -119.2155""', '""""', '""Rain""\n']"
N41944,20180801.0204,Lightning,Fire,50.9446,-117.8265,195.0,58.3,87.8,71.1,53.7,57.64,85.1,13.8,22.5,203.08,,0.0,55.5,11.3,1008.9,"['""""', '50.9446', '-117.8265', '""50.9446', ' -117.8265""', '""50.9446', ' -117.8265""', '""""', '""Clear""\n']"
G40380,20100727.1907,Lightning,Fire,53.033,-125.232,2.5,,,,,,,,,,,0.0,,,,"['""""', '53.033', '-125.232', '""53.033', ' -125.232""', '""53.033', ' -125.232""', '""No data available""', '""""\n']"
K60123,20180507.13,Person,Fire,50.07100000000001,-120.8033,3.9,44.8,76.7,62.0,42.6,54.51,,14.9,27.5,204.17,47.2,0.0,150.3,0.0,1019.4,"['""""', '50.07100000000001', '-120.8033', '""50.07100000000001', ' -120.8033""', '""50.07100000000001', ' -120.8033""', '""""', '""Clear""\n']"
K50391,20150719.19,Lightning,Fire,50.04600000000001,-119.5099,460.0,62.9,95.3,78.9,54.1,46.95,91.9,6.7,21.9,138.88,,0.16,55.0,12.8,1011.7,"['""Light Rain""', '50.04600000000001', '-119.5099', '""50.04600000000001', ' -119.5099""', '""50.04600000000001', ' -119.5099""', '""""', '""Rain""\n']"
N20006,20120417.133,Person,Fire,50.3652,-115.8628,4.9,20.6,30.3,24.5,20.2,84.14,,11.4,45.0,220.91,11.6,0.0,,0.0,,"['""""', '50.3652', '-115.8628', '""50.3652', ' -115.8628""', '""50.3652', ' -115.8628""', '""""', '""Clear""\n']"
G90294,20120727.1654,Lightning,Fire,59.7879,-122.2404,14.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
C20060,20060515.16,Person,Fire,51.925,-122.3693,11.0,50.1,77.1,63.7,32.4,34.43,,6.9,,,,0.0,14.9,48.3,1019.6,"['""""', '51.925', '-122.3693', '""51.925', ' -122.3693""', '""51.925', ' -122.3693""', '""""', '""Partially cloudy""\n']"
G80326,20120726.1158,Lightning,Fire,57.493,-121.1798,49.4,,,,,,,,,,,0.0,,,,"['""""', '57.493', '-121.1798', '""57.493', ' -121.1798""', '""57.493', ' -121.1798""', '""No data available""', '""""\n']"
R90113,20120808.1705,Lightning,Fire,59.4419,-129.0875,3500.0,52.4,77.2,62.7,51.5,70.26,,12.1,25.3,169.67,,0.14,31.1,56.1,1011.1,"['""Precipitation In Vicinity', ' Thunderstorm', ' Thunderstorm Without Precipitation', ' Rain Showers""', '59.4419', '-129.0875', '""59.4419', ' -129.0875""', '""59.4419', ' -129.0875""', '""""', '""Rain', ' Partially cloudy""\n']"
N10588,20120910.123,Lightning,Fire,49.6249,-116.6048,30.5,40.6,62.8,52.0,38.1,61.28,,11.9,29.7,228.75,37.7,0.25,21.8,14.1,1014.6,"['""Mist', ' Rain Showers', ' Sky Coverage Decreasing', ' Smoke Or Haze""', '49.6249', '-116.6048', '""49.6249', ' -116.6048""', '""49.6249', ' -116.6048""', '""""', '""Rain""\n']"
N10148,20030712.16,Person,Fire,49.2863,-115.6446,13.62,61.3,88.3,76.0,45.4,35.38,85.0,17.2,,162.13,,0.03,23.8,37.2,1010.3,"['""""', '49.2863', '-115.6446', '""49.2863', ' -115.6446""', '""49.2863', ' -115.6446""', '""""', '""Rain', ' Partially cloudy""\n']"
G10319,20130810.0001,Lightning,Fire,53.4805,-123.7477,3.6,,,,,,,,,,,0.0,,,,"['""""', '53.4805', '-123.7477', '""53.4805', ' -123.7477""', '""53.4805', ' -123.7477""', '""No data available""', '""""\n']"
R10150,20100727.212,Lightning,Fire,53.7807,-125.58,170.0,55.3,82.3,67.6,48.7,54.6,80.3,9.2,,230.17,,0.0,,0.0,1012.3,"['""""', '53.7807', '-125.58', '""53.7807', ' -125.58""', '""53.7807', ' -125.58""', '""""', '""Clear""\n']"
N50277,20160807.1402,Lightning,Fire,50.6375,-117.6263,20.2,57.8,76.1,65.1,56.3,75.02,,12.8,24.7,165.83,,0.02,92.9,25.2,1009.7,"['""Mist', ' Thunderstorm', ' Rain', ' Light Rain""', '50.6375', '-117.6263', '""50.6375', ' -117.6263""', '""50.6375', ' -117.6263""', '""""', '""Rain', ' Partially cloudy""\n']"
G10024,20040411.2,Person,Fire,53.344,-122.5581,2.5,36.7,73.6,54.5,33.1,48.0,,7.0,,204.0,40.1,0.02,16.9,38.3,1012.6,"['""""', '53.344', '-122.5581', '""53.344', ' -122.5581""', '""53.344', ' -122.5581""', '""""', '""Rain', ' Partially cloudy""\n']"
R90040,20050212.12,Person,Fire,59.4737,-133.62290000000002,8.0,,,,,,,,,,,0.0,,,,"['""""', '59.4737', '-133.62290000000002', '""59.4737', ' -133.62290000000002""', '""59.4737', ' -133.62290000000002""', '""No data available""', '""""\n']"
K20730,20060728.143,Person,Fire,51.1608,-119.7662,100.0,60.7,88.9,76.3,50.0,40.36,87.3,8.2,,,,0.0,39.4,32.2,1005.9,"['""""', '51.1608', '-119.7662', '""51.1608', ' -119.7662""', '""51.1608', ' -119.7662""', '""""', '""Partially cloudy""\n']"
C50647,20170707.1343,Lightning,Fire,51.944,-123.1686,239298.0,40.8,80.9,64.2,36.5,41.43,79.1,17.2,33.3,259.58,,0.0,633.3,0.0,1019.4,"['""""', '51.944', '-123.1686', '""51.944', ' -123.1686""', '""51.944', ' -123.1686""', '""""', '""Clear""\n']"
K60005,20010409.133,Person,Fire,50.28,-121.1342,3.0,35.3,52.2,44.2,31.6,62.53,,21.5,,189.26,33.2,0.22,12.5,48.8,1014.6,"['""Precipitation In Vicinity', ' Fog', ' Rain Showers', ' Sky Coverage Increasing""', '50.28', '-121.1342', '""50.28', ' -121.1342""', '""50.28', ' -121.1342""', '""""', '""Rain', ' Partially cloudy""\n']"
