FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
VA0217,20060612.2012,Lightning,Fire,51.5899,-127.0808,2.5,59.1,82.5,69.5,49.1,51.83,80.2,27.5,,,,0.0,,0.0,1010.6,"['""""', '51.5899', '-127.0808', '""51.5899', ' -127.0808""', '""51.5899', ' -127.0808""', '""""', '""Clear""\n']"
C10193,20010815.14,Person,Fire,53.09670000000001,-124.1875,5.0,46.5,89.7,71.3,,,,,,,,0.0,,0.0,,"['""""', '53.09670000000001', '-124.1875', '""53.09670000000001', ' -124.1875""', '""53.09670000000001', ' -124.1875""', '""""', '""Clear""\n']"
N60287,20010712.2,Lightning,Fire,49.0365,-118.824,4.0,62.7,90.0,75.5,57.0,57.56,88.2,14.5,,162.25,,0.29,14.7,23.8,1016.4,"['""Thunderstorm', ' Rain Showers""', '49.0365', '-118.824', '""49.0365', ' -118.824""', '""49.0365', ' -118.824""', '""""', '""Rain""\n']"
C41707,20170812.191,Lightning,Fire,51.8241,-120.9196,29.7,,,,,,,,,,,0.0,,,,"['""""', '51.8241', '-120.9196', '""51.8241', ' -120.9196""', '""51.8241', ' -120.9196""', '""No data available""', '""""\n']"
G60413,20100728.1355,Lightning,Fire,57.6884,-125.4289,2.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
G40499,20100801.1559,Lightning,Fire,53.5472,-124.5032,2.0,,,,,,,,,,,0.0,,,,"['""""', '53.5472', '-124.5032', '""53.5472', ' -124.5032""', '""53.5472', ' -124.5032""', '""No data available""', '""""\n']"
C40257,20060705.1837,Lightning,Fire,51.35890000000001,-121.0362,5.0,55.5,84.3,65.8,50.7,64.76,81.8,10.3,,,,0.0,8.5,30.0,1013.1,"['""Rain', ' Light Rain""', '51.35890000000001', '-121.0362', '""51.35890000000001', ' -121.0362""', '""51.35890000000001', ' -121.0362""', '""""', '""Partially cloudy""\n']"
C10082,20000430.112999998,Person,Fire,52.6467,-122.495,5.0,44.6,57.9,51.2,33.7,51.64,,15.7,,148.83,39.2,0.02,12.8,74.8,1014.6,"['""Light Rain""', '52.6467', '-122.495', '""52.6467', ' -122.495""', '""52.6467', ' -122.495""', '""""', '""Rain', ' Partially cloudy""\n']"
K61488,20070328.09,Person,Fire,50.28160000000001,-121.1329,3.0,39.0,53.0,46.6,26.4,45.92,,22.4,30.2,,30.9,0.35,14.4,17.1,1031.1,"['""""', '50.28160000000001', '-121.1329', '""50.28160000000001', ' -121.1329""', '""50.28160000000001', ' -121.1329""', '""""', '""Rain""\n']"
N40152,20050808.161,Person,Fire,51.7852,-117.763,2.0,48.3,82.5,69.1,44.2,46.84,80.3,11.4,,333.64,46.4,0.0,29.8,51.7,1014.9,"['""""', '51.7852', '-117.763', '""51.7852', ' -117.763""', '""51.7852', ' -117.763""', '""""', '""Partially cloudy""\n']"
G80082,20140527.1539,Lightning,Fire,57.6463,-120.6875,7.5,,,,,,,,,,,0.0,,,,"['""""', '57.6463', '-120.6875', '""57.6463', ' -120.6875""', '""57.6463', ' -120.6875""', '""No data available""', '""""\n']"
C50010,20070413.19,Person,Nuisance Fire,52.005,-123.1801,9.1,30.7,53.7,43.9,29.6,58.65,,21.8,33.8,,26.8,0.1,14.1,36.4,1005.6,"['""Light Snow', ' Light Rain', ' Sky Unchanged""', '52.005', '-123.1801', '""52.005', ' -123.1801""', '""52.005', ' -123.1801""', '""""', '""Rain', ' Partially cloudy""\n']"
C50199,20030630.1516,Lightning,Fire,52.0257,-124.3312,1875.0,37.5,62.7,53.2,41.4,65.72,,12.5,,219.88,35.4,0.24,8.7,0.0,,"['""""', '52.0257', '-124.3312', '""52.0257', ' -124.3312""', '""52.0257', ' -124.3312""', '""""', '""Rain""\n']"
G70065,20150517.1513,Person,Fire,55.198,-120.2738,15.0,37.3,61.5,49.5,23.6,39.45,,16.2,26.4,122.33,33.8,0.0,47.1,0.7,1026.2,"['""""', '55.198', '-120.2738', '""55.198', ' -120.2738""', '""55.198', ' -120.2738""', '""""', '""Clear""\n']"
R22258,20180731.2131,Lightning,Fire,55.1578,-126.1788,3366.0,53.9,88.1,73.0,54.3,55.88,85.6,9.2,20.8,190.25,,0.01,85.6,16.1,1012.3,"['""""', '55.1578', '-126.1788', '""55.1578', ' -126.1788""', '""55.1578', ' -126.1788""', '""""', '""Rain""\n']"
N20367,20150710.1738,Lightning,Fire,50.8173,-115.9366,2.0,51.0,74.7,62.8,47.4,60.72,,6.5,33.3,188.38,,0.32,626.6,0.0,1008.2,"['""""', '50.8173', '-115.9366', '""50.8173', ' -115.9366""', '""50.8173', ' -115.9366""', '""""', '""Rain""\n']"
V30051,20100515.183,Person,Fire,49.6316,-123.1797,2.46,50.1,69.7,59.3,45.1,61.52,,8.2,21.9,171.38,,0.0,,0.0,1014.7,"['""""', '49.6316', '-123.1797', '""49.6316', ' -123.1797""', '""49.6316', ' -123.1797""', '""""', '""Clear""\n']"
C30259,20030730.18,Lightning,Fire,52.4618,-121.0982,23.0,56.9,87.9,75.6,40.6,31.09,84.3,10.3,,238.95,,0.0,14.5,47.4,1015.1,"['""""', '52.4618', '-121.0982', '""52.4618', ' -121.0982""', '""52.4618', ' -121.0982""', '""""', '""Partially cloudy""\n']"
K52207,20170927.1902,Person,Fire,49.17760000000001,-119.7889,100.0,44.2,75.6,57.6,44.0,63.82,,4.0,,146.54,44.0,0.0,634.9,0.0,1021.5,"['""""', '49.17760000000001', '-119.7889', '""49.17760000000001', ' -119.7889""', '""49.17760000000001', ' -119.7889""', '""""', '""Clear""\n']"
C20200,20100727.1946,Lightning,Fire,52.2597,-122.7408,3714.4,53.6,86.0,70.2,45.3,45.53,82.8,13.9,18.3,155.58,,0.02,14.9,50.9,1011.8,"['""Lightning Without Thunder', ' Thunderstorm', ' Rain Showers""', '52.2597', '-122.7408', '""52.2597', ' -122.7408""', '""52.2597', ' -122.7408""', '""""', '""Rain', ' Partially cloudy""\n']"
G10687,20170707.1456,Lightning,Fire,53.4228,-122.3,25.5,48.0,90.6,67.8,43.7,50.07,86.5,15.3,38.0,219.5,,0.76,77.0,7.0,1017.5,"['""Lightning Without Thunder', ' Thunderstorm', ' Smoke Or Haze""', '53.4228', '-122.3', '""53.4228', ' -122.3""', '""53.4228', ' -122.3""', '""""', '""Rain""\n']"
K60357,20140801.153,Person,Fire,50.2196,-121.1851,3.5,64.3,100.1,84.1,49.5,34.88,95.4,18.9,36.7,155.08,,0.0,66.6,0.4,1013.0,"['""""', '50.2196', '-121.1851', '""50.2196', ' -121.1851""', '""50.2196', ' -121.1851""', '""""', '""Clear""\n']"
C10068,20020430.13,Person,Fire,52.423,-122.69,2.1,32.7,65.0,51.3,26.5,41.91,,15.6,,252.89,29.2,0.02,13.8,14.9,1018.4,"['""""', '52.423', '-122.69', '""52.423', ' -122.69""', '""52.423', ' -122.69""', '""""', '""Rain""\n']"
G80061,20090506.1717,Person,Fire,56.2156,-121.4489,18.0,35.7,56.7,48.3,27.3,45.74,,11.4,,240.25,30.9,0.0,18.7,78.0,1006.6,"['""""', '56.2156', '-121.4489', '""56.2156', ' -121.4489""', '""56.2156', ' -121.4489""', '""""', '""Overcast""\n']"
V30060,20060516.19,Person,Fire,49.96870000000001,-122.4359,7.0,45.8,84.5,63.4,43.3,54.23,81.9,5.0,,,,0.0,,0.0,1018.3,"['""""', '49.96870000000001', '-122.4359', '""49.96870000000001', ' -122.4359""', '""49.96870000000001', ' -122.4359""', '""""', '""Clear""\n']"
R50069,20180428.122,Person,Nuisance Fire,54.50080000000001,-128.5045,2.0,33.8,57.2,47.1,25.8,46.57,,20.8,28.9,258.48,24.5,0.0,19.7,31.3,1015.1,"['""""', '54.50080000000001', '-128.5045', '""54.50080000000001', ' -128.5045""', '""54.50080000000001', ' -128.5045""', '""""', '""Partially cloudy""\n']"
K50194,20150628.11,Lightning,Fire,49.0471,-119.4198,20.0,75.8,98.3,88.9,54.3,32.44,95.7,11.4,23.0,282.92,,0.0,112.8,0.0,1010.3,"['""""', '49.0471', '-119.4198', '""49.0471', ' -119.4198""', '""49.0471', ' -119.4198""', '""""', '""Clear""\n']"
K60010,20020415.163,Person,Fire,50.107,-120.8228,3.0,36.9,48.7,41.9,32.4,69.31,,20.4,,176.65,29.4,0.47,15.9,37.4,1004.9,"['""Precipitation In Vicinity""', '50.107', '-120.8228', '""50.107', ' -120.8228""', '""50.107', ' -120.8228""', '""""', '""Rain', ' Partially cloudy""\n']"
N10122,20190425.15,Person,Fire,49.5835,-114.97200000000001,6.0,30.6,56.3,44.4,20.2,43.65,,9.8,21.7,154.92,24.0,0.0,633.5,0.0,1019.5,"['""""', '49.5835', '-114.97200000000001', '""49.5835', ' -114.97200000000001""', '""49.5835', ' -114.97200000000001""', '""""', '""Clear""\n']"
G60172,20150527.193,Lightning,Fire,55.9634,-123.7722,31.0,,,,,,,,,,,0.0,,,,"['""""', '55.9634', '-123.7722', '""55.9634', ' -123.7722""', '""55.9634', ' -123.7722""', '""No data available""', '""""\n']"
N42401,20180731.2104,Lightning,Fire,50.9095,-117.8148,9.0,58.2,83.5,69.0,57.1,68.88,81.8,7.7,,171.38,,0.02,44.3,34.8,1012.6,"['""Thunderstorm""', '50.9095', '-117.8148', '""50.9095', ' -117.8148""', '""50.9095', ' -117.8148""', '""""', '""Rain', ' Partially cloudy""\n']"
