FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
V10007,,1985,Person,1985-V10007,448,LFDB,,20070517130643,19850516,digitised,JA70003000,,1704258,4480454.4142,11317.6869,,
V10036,,1985,Lightning,1985-V10036,871.2,LFDB,,20070517130644,19850716,digitised,JA70003000,,1704259,8712525.3924,14538.2035,,
V10042,,1985,Lightning,1985-V10042,3515.5,LFDB,,20070517130644,19850716,digitised,JA70003000,,1704260,35155770.9833,44630.1182,,
K70055,,1986,Person,1986-K70055,18.3,inventory,,20070517130642,19861016,digitised,JA70003000,,1704368,183590.8619,3350.0699,,
K70055,,1986,Person,1986-K70055,1.8,inventory,,20070517130642,19861016,digitised,JA70003000,,1704369,18222.453999999998,791.2269,,
K70058,,1986,Person,1986-K70058,20.3,mylars,,20070517130653,19861020,digitised,JA70003000,,1704370,203272.8762,1771.2439000000002,,
K70058,,1986,Person,1986-K70058,41.4,mylars,,20070517130653,19861020,digitised,JA70003000,,1704371,414458.7093,2610.6643,,
N10072,,1986,Person,1986-N10072,550.1,LFDB,,20070517130643,19860818,digitised,JA70003000,,1704372,5501745.5792,16028.8795,,
K50101,,1987,Person,1987-K50101,45.7,Buffered_Point,,20070517130645,19870906,buffered_point,JA70003000,,1704527,457099.9583,2479.5091,,
K50109,,1987,Person,1987-K50109,577.9,Buffered_Point,,20070517130645,19870914,buffered_point,JA70003000,,1704528,5779000.1303,8822.8765,,
K50128,,1987,Person,1987-K50128,55.6,Buffered_Point,,20070517130645,19871024,buffered_point,JA70003000,,1704529,556139.2145,2733.3355,,
K60001,,1987,Person,1987-K60001,102.5,Buffered_Point,,20070517130645,19870423,buffered_point,JA70003000,,1704530,1025882.1536,3725.7493000000004,,
K60024,,1987,Lightning,1987-K60024,16,Buffered_Point,,20070517130645,19870622,buffered_point,JA70003000,,1704531,160062.7809,1472.0523,,
K60039,,1987,Person,1987-K60039,34,inventory,,20070517130642,19870713,digitised,JA70003000,,1704532,340430.9222,4494.202,,
K60066,,1987,Lightning,1987-K60066,15.4,Buffered_Point,,20070517130645,19870725,buffered_point,JA70003000,,1704533,154894.0673,1446.01,,
K60081,,1987,Person,1987-K60081,22.1,Buffered_Point,,20070517130645,19870921,buffered_point,JA70003000,,1704534,221304.1467,1725.8105,,
K60093,,1987,Person,1987-K60093,13.6,Buffered_Point,,20070517130645,19871020,buffered_point,JA70003000,,1704535,136632.9505,1356.1473,,
K70017,,1987,Person,1987-K70017,27,mylars,,20070517130642,19870515,digitised,JA70003000,,1704536,270377.3742,2324.0154,,
N10003,,1987,Person,1987-N10003,109.60000000000001,mylars,,20070517130642,19870405,digitised,JA70003000,,1704537,1096761.2295,4375.1847,,
N10010,,1987,Person,1987-N10010,196.1,LFDB,,20070517130642,19870509,digitised,JA70003000,,1704538,1961950.1017,11442.8586,,
N10097,,1987,Person,1987-N10097,22.7,Buffered_Point,,20070517130645,19870824,buffered_point,JA70003000,,1704539,227315.9864,1750.6584,,
N10119,,1987,Person,1987-N10119,180.9,mylars,,20070517130642,19870917,digitised,JA70003000,,1704540,1809430.0829,5482.8769,,
N10140,,1987,Person,1987-N10140,87.7,mylars,,20070517130642,19871021,digitised,JA70003000,,1704541,877116.2588,3483.3579,,
N20059,,1987,Person,1987-N20059,77.10000000000001,Buffered_Point,,20070517130645,19871001,buffered_point,JA70003000,,1704542,771178.6688,3233.809,,
N30031,,1987,Person,1987-N30031,35.2,mylars,,20070517130642,19870825,digitised,JA70003000,,1704543,352880.6478,2625.9608000000003,,
N30032,,1987,Person,1987-N30032,18.900000000000002,inventory,,20070517130642,19870921,digitised,JA70003000,,1704544,189753.005,2179.6646,,
V10048,,1985,Lightning,1985-V10048,392.3,LFDB,,20070517130644,19850716,digitised,JA70003000,,1704261,3923213.356,8181.0935,,
V20001,,1985,Person,1985-V20001,20.8,Buffered_Point,,20070517130645,19850309,buffered_point,JA70003000,,1704262,208244.419,1674.1734000000001,,
V20002,,1985,Person,1985-V20002,93,Buffered_Point,,20070517130645,19850311,buffered_point,JA70003000,,1704263,930778.4602,3539.3336000000004,,
V30004,,1985,Person,1985-V30004,76.10000000000001,mylars,,20070517130643,19850617,digitised,JA70003000,,1704264,761438.2754,3754.2050000000004,,
V30016,,1985,Lightning,1985-V30016,799.5,mylars,,20070517130643,19850715,digitised,JA70003000,,1704265,7995070.2212,12647.5111,,
V30028,,1985,Lightning,1985-V30028,40.2,mylars,,20070517130643,19850722,digitised,JA70003000,,1704266,402811.0145,2567.6341,,
V30040,,1985,Lightning,1985-V30040,30.1,mylars,,20070517130643,19850730,digitised,JA70003000,,1704267,301167.8592,2357.6947,,
V30043,,1985,Lightning,1985-V30043,44.4,mylars,,20070517130643,19850730,digitised,JA70003000,,1704268,444822.7313,2661.5177000000003,,
N10087,,1986,Person,1986-N10087,70.60000000000001,mylars,,20070517130643,19861021,digitised,JA70003000,,1704373,706656.8888,3392.0946000000004,,
N10088,,1986,Person,1986-N10088,11.700000000000001,mylars,,20070517130643,19861022,digitised,JA70003000,,1704374,117507.923,1541.1161,,
N20013,,1986,Person,1986-N20013,160.9,mylars,,20070517130643,19860613,digitised,JA70003000,,1704375,1609115.3151,7514.7708,,
