,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
V10485,20070924.0741,Person,Nuisance Fire,49.0938,-121.7993,0.0
C50491,20060928.102,Person,Nuisance Fire,52.1133,-124.0583,0.0
V61308,20100923.0538,Person,Nuisance Fire,48.5433,-123.5983,0.0
V60188,20130710.1245,Person,Nuisance Fire,48.59390000000001,-123.2824,0.0
V11205,20100905.1232,Person,Nuisance Fire,49.3457,-121.8677,0.0
V30498,20080812.0903,Person,Nuisance Fire,49.6185,-123.2573,0.0
V30508,20160928.1457,Person,Nuisance Fire,49.7175,-123.0425,0.0
R50079,20120804.2131,Person,Nuisance Fire,54.1758,-128.564,0.0
G80142,20060510.1122,Person,Nuisance Fire,56.2472,-120.2448,0.0
V70071,20080517.224,Person,Nuisance Fire,49.23410000000001,-124.8484,0.0
V10229,20160724.1715,Person,Nuisance Fire,49.5825,-121.9174,0.0
V50128,20110605.1334,Person,Nuisance Fire,49.5178,-123.8207,0.0
V81059,20100821.2107,Person,Nuisance Fire,49.7056,-125.00399999999999,0.0
V10459,20160827.1751,Person,Nuisance Fire,49.12580000000001,-121.5793,0.0
V71337,20101010.0341,Person,Nuisance Fire,49.1279,-123.9762,0.0
V70206,20120804.0708,Person,Duplicate,49.36490000000001,-124.5825,0.0
V10013,20080416.1726,Person,Nuisance Fire,49.1302,-122.1862,0.0
G81743,20170814.164,Unknown,Smoke Chase,57.21550000000001,-122.8163,0.0
V10702,20110821.1514,Person,Nuisance Fire,49.4099,-121.3162,0.0
V70282,20100704.1318,Person,Nuisance Fire,49.1941,-124.0989,0.0
V10506,20090628.1826,Person,Nuisance Fire,49.1261,-121.5794,0.0
V10213,20040623.1837,Person,Nuisance Fire,49.5259,-121.5775,0.0
V10218,20120805.1517,Person,Nuisance Fire,49.5185,-121.7671,0.0
V60325,20080720.094,Person,Nuisance Fire,48.77070000000001,-123.3763,0.0
V12514,20180811.1722,Person,Nuisance Fire,49.35290000000001,-121.3273,0.0
V70407,20040727.2037,Person,Nuisance Fire,49.4333,-124.9,0.0
V70406,20040727.1921,Person,Nuisance Fire,49.28890000000001,-124.5852,0.0
V51379,20090805.091,Person,Nuisance Fire,50.0651,-124.9891,0.0
V70443,20180529.115,Person,Nuisance Fire,49.07980000000001,-125.7838,0.0
V50615,20100727.2102,Person,Nuisance Fire,49.79210000000001,-124.4011,0.0
V60432,20080804.1836,Person,Nuisance Fire,48.9279,-123.6268,0.0
