FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
G60456,20060703.2115,Lightning,Fire,55.54530000000001,-123.9992,65.0
G80127,20150525.12,Lightning,Fire,57.6178,-121.1905,545.0
G90197,20150531.0949,Person,Nuisance Fire,58.77670000000001,-125.2383,20.0
G50041,20130506.1,Person,Fire,54.5975,-125.0801,2.5
R40011,20101108.1143,Person,Nuisance Fire,55.25680000000001,-127.5944,16.3
C50009,20140410.2,Person,Fire,52.02350000000001,-123.1835,84.0
N60075,20110707.1644,Person,Nuisance Fire,49.36830000000001,-119.0978,4.0
V70989,20100815.12,Person,Fire,49.1695,-124.1626,3.3000000000000003
V73175,20190318.15,Person,Fire,49.3263,-124.8923,5.0
G90297,20100721.18,Lightning,Fire,58.478,-121.1431,2.0
N72367,20180727.1947,Lightning,Fire,49.125,-116.93,11.0
G90342,20150629.1643,Lightning,Fire,58.72320000000001,-122.9322,4.6000000000000005
G80349,20150703.2012,Lightning,Fire,57.6419,-121.8153,3.0
G60209,20100621.1419,Lightning,Fire,55.81480000000001,-123.1935,70.5
C40054,20020428.1545,Person,Fire,51.81,-121.035,2.0
G10058,20130509.223,Person,Fire,54.0576,-122.9104,23.2
K22285,20180806.1658,Lightning,Fire,51.90620000000001,-119.0734,313.0
G10213,20040623.19,Lightning,Fire,54.5902,-123.075,2.1
R10002,20000408.123,Person,Fire,54.1922,-125.5173,6.0
G90169,20120706.1617,Lightning,Fire,58.90470000000001,-121.1002,25.5
C10094,20190221.084211,Person,Fire,53.19110000000001,-124.0188,10.0
R40038,20050510.12,Person,Fire,55.48220000000001,-127.8044,8.6
C20174,20100727.2052,Lightning,Fire,51.9947,-121.9325,9.3
R10241,20100802.18,Lightning,Fire,53.243,-126.6892,174.0
G50450,20060704.12,Lightning,Fire,54.8609,-123.7089,217.0
G80787,20180621.1536,Lightning,Fire,56.63670000000001,-120.294,5.32
G50538,20090902.2258,Lightning,Fire,54.7625,-125.0847,2.25
G60391,20090730.0015,Lightning,Fire,57.4267,-125.2483,82.60000000000002
K70024,20130426.14,Person,Fire,50.5985,-122.4611,7.0
K60004,20010408.22,Person,Fire,50.2798,-121.1342,22.0
C20019,20060423.13,Person,Fire,51.951,-122.4955,2.5
G80084,20130518.1427,Person,Nuisance Fire,57.1385,-121.462,20.0
G80294,20180520.191,Lightning,Fire,57.4692,-120.5512,700.0
G80045,20120512.16,Unknown,Fire,56.5142,-121.9481,6.1000000000000005
K62814,20180811.0828,Lightning,Fire,50.11810000000001,-120.0719,4.8500000000000005
K61215,20180716.1341,Person,Fire,49.61980000000001,-120.6728,16.4
C50151,20010627.1309,Lightning,Fire,51.9733,-123.35,20.2
K50029,20140411.1636,Person,Fire,49.1023,-119.4771,80.0
R40142,20040623.17,Lightning,Fire,55.52800000000001,-127.9553,28.0
V80724,20090715.1409,Person,Fire,49.9656,-126.0625,12.4
R10252,20130903.2033,Lightning,Fire,53.271800000000006,-126.2173,3700.0
G80349,20060702.1407,Lightning,Fire,57.4805,-121.7962,2882.0
G90006,20160403.0915,Person,Fire,58.7987,-125.02799999999999,29.7
G90173,20050529.2055,Lightning,Fire,59.2092,-121.4602,16.3
K11123,20060813.1827,Lightning,Fire,52.0326,-119.0664,11.9
V60117,20030628.07,Person,Fire,48.5077,-123.5727,15.0
V30734,20100731.1521,Lightning,Fire,50.1477,-122.6236,43.2
G40315,20090731.1241,Lightning,Fire,53.3979,-124.6143,47.5
R40058,20040620.12,Lightning,Fire,55.2599,-127.1828,50.0
C10005,20060408.21,Person,Fire,52.9423,-123.5884,2.0
G90145,20000627.074,Lightning,Fire,59.9617,-121.3608,1000.0
G11893,20180731.18,Lightning,Fire,53.4663,-123.3205,83.0
G80040,20100416.183,Person,Fire,56.24180000000001,-121.4038,4.6000000000000005
C40192,20130803.1827,Lightning,Fire,51.4143,-122.1638,6.4
C50037,20120513.123,Person,Fire,51.47960000000001,-123.8415,11.0
K20554,20130810.1605,Lightning,Fire,50.9196,-120.1755,68.7
V90533,20060821.1058,Person,Fire,50.2198,-126.8062,39.0
N20452,20100814.1336,Person,Nuisance Fire,50.5718,-116.0308,2.0
N70248,20150630.223,Lightning,Fire,49.62730000000001,-117.1524,2.5
C40654,20090925.15,Person,Fire,52.0397,-121.4353,2.0
C20039,20060502.1145,Person,Nuisance Fire,52.1,-121.98,5.0
C50524,20040329.102,Person,Fire,52.13670000000001,-123.9276,13.44
